"vendor_code","name"
9564893,"Пакет подарочный новогодний крафтовый вертикальный «Новогодний венок», MS 18 х 23 х 10 см, Новый год"
2344685,"Пакет ""Этнос"", полиэтиленовый с вырубной ручкой 38 х 45 см, 60 мкм"
9258635,"Пакет ""Сапожок"", полиэтиленовый с пластиковой ручкой, 38х45 см, 90 мкм"
2737864,"Пакет ""Мороз Иванович"", полиэтиленовый с вырубной ручкой, 40х47 см. Новый год"
7041641,"Пакет подарочный «Тролли», 220х310х100 мм"
9543868,"Пакет подарочный новогодний ламинированный «Тепло в доме», XL 40 х 49 х 19 см, Новый год"
1759372,"Пакет подарочный ""Мужской набор"", 24 х 20.3 х 11.5 см"
690824,"Пакет ""Праздник"", полиэтиленовый с петлевой ручкой, 42*38 см, 37 мкм"
2492930,"Пакет крафт без печати, плоская ручка 28 х 15 х 32 см"
2741094,"Пакет подарочный ""Новогодние шары"", 26 х 14 х 33 см"
2728125,"Пакет ""Еловая веточка"", полиэтиленовый с вырубной ручкой, 45 х38 см, 60 мкм"
2728128,"Пакет ""Поделки"", полиэтиленовый с пластиковой ручкой 36 х 37 см, 100 мкм"
2728129,"Пакет ""Джинсовый наряд"", полиэтиленовый с пластиковой ручкой, 44 х 40 см, 100 мкм"
10621015,"Пакет бумажный подарочный новогодний крафт ""Рождественский стекляный шар"" 18 х 22,3 х 10 см. Новый год"
1759373,"Пакет подарочный ""Поло"", 24 х 20.3 х 11.5 см"
7661209,"Пакет подарочный новогодний «На носу НГ», 22 х 22 х 11 см, Новый год"
9232520,"Пакет подарочный ""Ночь зимой"", 26 х 32 х 12 см. Новый год"
163052,"Пакет-сумка (ламинация) ""Классик"", 23 х18 см"
163056,"Пакет-сумка (тиснение) ""Молния"", 23 х18 см"
9590639,"Пакет подарочный, упаковка, «Тому, кого люблю», ML 23 х 27 х 11.5 см"
9590640,"Упаковка, пакет подарочный, «Сияй», ML 23 х 27 х 11.5 см"
1759407,"Пакет подарочный ""Снежный"" люкс, 32 х 26 х 12 см"
1759408,"Пакет подарочный ""Сани с подарками"" люкс, 32 х 26 х 12 см"
10307143,"Пакет крафт ""Яркий образ"" 26 х 32 х 12 см"
1431839,"Пакет подарочный ""Пробуждение"" 26,5 х 16,5 х 7 см"
9568859,"Пакет ""Цветы весенние"", красный, мягкий пластик, 26 х 23 см 110 мкм"
4166753,"Пакет ""Алиса"", полиэтиленовый с вырубной ручкой, 20 х 30 см, 30 мкм"
9590642,"Пакет подарочный, упаковка, «С Днём рождения!», ML 23 х 27 х 11.5 см"
2737886,"Пакет ""Шарики-фонарики"", полиэтиленовый с вырубной ручкой, 20х30 см. Новый год"
4166755,"Пакет ""Китти NEW"", полиэтиленовый с вырубной ручкой, 20 х 30 см, 30 мкм"
1431838,"Пакет подарочный ""Свидание"" 26,5 х 16,5 х 7 см"
7087893,"Пакет под бутылку, крафт, 14 х 8 х 32 см, набор 10 шт."
1431840,"Пакет подарочный ""Возможности"" 26,5 х 16,5 х 7 см"
